Name,ID,UUID,Price,Description,Number of Flavours,Rating,Image Link
GORILLA MODE,gorilla-mode,3518d681-67bd-4d4a-a95f-d5f2439637b6,$49.99,"With Gorilla Mode you can expect a massive increase in nitric oxide (NO) levels, intramuscular hydration, energy, focus and as significant of a boost in muscle strength and endurance as you can get from a legal non-hormonal pre-workout. This product is maxed out in the pump and performance category, as well as in the energy and focus category. It has a massive dose of L-Citrulline, GlycerPump, Agmatine, Creatine and Betaine to saturate your muscles with blood and intracellular hydration. It also has a potent stimulant complex comprised of a high dose of Caffeine and N-Phenethyl Dimethylamine Citrate. The high dosed nootropics: L-Tyrosine, Kanna and Huperzine A top off the cognitive enhancing component of Gorilla Mode and contribute to a significant increase in energy, focus and overall mental sharpness. Bioperine also potentiates the cognitive enhancing ingredients in this formula by prolonging their breakdown and increasing their bioavailability.",15,0.0,https://cdn.shopify.com/s/files/1/0369/2580/0493/products/Gorilla-Mode-Bombsicle_1200x.png?v=1660581253
GORILLA MODE NITRIC,gorilla-mode-nitric,0280e3f9-daae-4751-ae84-0935cf1b1afc,$59.99,"With Gorilla Mode Nitric you can expect a massive increase in nitric oxide (NO) levels, vasodilation, intracellular hydration and as significant of a boost in muscle strength and endurance as you can get from a legal non-hormonal pre-workout. This product is maxed out from all angles. The traditional Arginine–eNOS–nitric oxide (NO) pathway is completely saturated with an unheard of dose of L-Citrulline, as well as topped out dosages of Nitrosigine and Agmatine Sulfate for good measure. Over a gram of nitrates also ensures that the nitrate–nitrite–nitric oxide (NO) pathway is taken care of. Intracellular hyper-hydration is best-in-class too with a huge dose of Creatine Monohydrate, Glycerpump and Betaine Anhydrous to volumize the muscle and support performance and pumps. Inhibiting the enzyme angiotensin converting enzyme (ACE) with a clinical dose of VasoDrive-AP® also checks off another pathway to push the boundaries on supraphysiological levels of vasodilation. Finally, a high dose of Malic Acid was included for good measure to act as a Krebs cycle intermediary and support greater levels of muscular endurance.",12,0.0,https://cdn.shopify.com/s/files/1/0369/2580/0493/products/Gorilla-Mode-Nitric-Front-Render-CB_1200x.png?v=1660581225
COMPLEXED TURKESTERONE,turkesterone,b4d28168-bbd3-46d8-9103-e064103792b3,$59.99,Each capsule contains 500 mg of Ajuga Turkestanica Extract (standardized to 10% Turkesterone) Hydroxypropyl-β-Cyclodextrin Complex Uniquely synthesized utilizing supramolecular inclusion complex technology to increase Turkesterone absorption,[],0.0,https://cdn.shopify.com/s/files/1/0369/2580/0493/products/Turkesterone-Front-small-og_1200x.png?v=1656891561
GORILLA MODE ENERGY,gorilla-mode-energy,89ac721e-ad8d-4093-9e38-385bb5d6133e,$39.99,"Gorilla Mode ""Energy"" is our aggressively dosed turnkey energy formula designed for maxed out performance and intense focus.  It is branded as a pre-workout, but it more broadly serves as an all around high potency energy formula.  You can expect a very clean boost in mental clarity, productivity, focus and energy with this product.  Gorilla Mode ""Energy"" contains a massive dose of carefully chosen synergistic stimulants and nootropics.  This product is designed specifically for energy and mental sharpness, so it does not contain any Nitric Oxide precursors, plasma expanders, or volumizing agents like Gorilla Mode and Gorilla Mode Nitric do.  As it is a pure energy formula, it can be stacked alongside our stimulant-free pre-workout Gorilla Mode Nitric to create an extremely potent all around pre-workout.  Just like all of our other products, look at the label and compare it to your current pre-workout. ",6,0.0,None
GORILLA DREAM,gorilla-dream,d06a7978-da44-4041-af76-4e11ba927807,,,[],0.0,None
GORILLA MIND SMOOTH,gorilla-mind-smooth,c6d491f8-1235-465e-9fa2-823250721505,,"Gorilla Mind Smooth is the best ""non-stimulant"" productivity supplement for those sensitive to caffeine. Focus without the jitters. Concentration without anxiety. Efficiency without the counter-productive crash. For those averse to caffeinated beverages, or stimulant-based products in general, this will be perfect for you. Gorilla Mind Smooth is our stimulant-free version of Gorilla Mind, providing a smoother, less extreme level of energy, but still maximizing the intense level of focus and heightened mental clarity that Gorilla Mind is renowned for. In general, you can expect clear headed mental clarity, as well as improved information retention, mood elevation, creativity, productivity and concentration. Gorilla Mind Smooth is not designed to jack your brain into high gear. Smooth is purely meant to enhance cognitive function and overall mental performance while enhancing your overall well-being.  Gorilla Mind Smooth can also double as pre-workout to give a big strength boost through the effects of acetylcholine. Recent formulas have worked very well at doing this but with further alterations to the formula there are more cholinergic agents at higher dosages. This increase in choline will help enhance the intracellular communication between the brain and nervous system, which is why it can be a great stack on top of your heavily dosed Gorilla Mode pre-workout for greater strength output. ",[],4.4,None
GORILLA MODE PROTEIN,gorilla-mode-protein,8d65e139-e778-4dcf-8f42-88f8115e5c2e,$37.99,,[],4.7,None
LOCK & LOAD,lock-and-load,3dad48b0-149f-47be-a9a2-8feee682ea0f,$49.99,,[],0.0,None
GORILLA MODE + NITRIC BUNDLE,gorilla-mode-nitric-bundle,290b7acd-5e84-4e13-ad1d-45b75905d29e,$104.98,"With Gorilla Mode you can expect a massive increase in nitric oxide (NO) levels, intramuscular hydration, energy, focus and as significant of a boost in muscle strength and endurance as you can get from a legal non-hormonal pre-workout. This product is maxed out in the pump and performance category, as well as in the energy and focus category. It has a massive dose of L-Citrulline, GlycerPump, Agmatine, Creatine and Betaine to saturate your muscles with blood and intracellular hydration. It also has a potent stimulant complex comprised of a high dose of Caffeine and N-Phenethyl Dimethylamine Citrate. The high dosed Nootropics L-Tyrosine, Kanna and Huperzine A top off the cognitive enhancing component of Gorilla Mode and contribute to a significant increase in energy, focus and overall mental sharpness. Bioperine also potentiates the cognitive enhancing ingredients in this formula by prolonging their breakdown and increasing their bioavailability.",[],4.7,None
GORILLA MODE GLYCEROL,gorilla-mode-glycerol,972547c9-2d55-47ae-ace9-5a9944b05a27,$34.99,"Take your training to the next level with the hyper-hydrating effects of Glycerol Powder. Glycerol significantly enhances pumps and performance by hyper-hydrating the muscle with water. If you drink a lot of water with nothing else, the fall in osmolarity in your body stimulates the kidneys to remove most of the excess water within an hour. If you add glycerol to the water, this prevents the drop in osmolarity and can extend the hyper-hydration effect in your muscles by up to four hours. By adding Glycerol to your pre-workout, you can hold upwards of an extra liter of water via this hyper-hydrating effect. Hydration is one of the most critical factors when it comes to performance. Only a 2% loss in fluids can result in as much as a 20% decrease in exercise performance.",4,0.0,None
SIGMA,sigma,48bbfb14-9fed-47d4-802c-985a70a101d2,$59.99,Higher Testosterone And Free Testosterone Levels* Only Costs ~$10-20 Per Month* Each Bottle Lasts For 2.5-5 Months* Key Bioavailable Nutrients And Minerals* Enhanced Gonadotropin Production* Steroidogenesis Support* Binding Protein Modulation* Stress Management*,[],4.7,None
GORILLA MODE AR,gorilla-mode-ar,fbb23023-1e28-4da6-a237-5d15b675cf68,$19.99,,[],0.0,None
RAUWOLSCINE,rauwolscine,9a8e4a82-b7bb-428c-ad19-d84ad7ef0b4d,$29.99,"Rauwolscine is a staple fat loss product for many people while dieting in order to maximize fat loss potential while maintaining steady energy levels and reducing those nasty cravings. You can expect: Appetite Suppression, increased fat loss and a boost of energy.  Rauwolscine works by inhibiting the alpha 2-adrenergic receptors in the body. This will cause the body to release the neurotransmitter norepinephrine, which can help prevent the creation of new fat tissue.  These Alpha 2-adrenergic receptors are very prominent in stubborn areas of the body like the inner thighs and abdominal areas, which makes the inhibition of those receptors very helpful during a diet. In addition, Rauwolscine can help during a diet by potentially reducing your appetite and increasing energy throughout the day. If you've dieted before, you'll know the biggest barriers are feeling hungry and lacking energy. In a calorie deficit, your body doesn't receive its usual amount of food resulting in lower energy and the release of the hunger hormone, ghrelin. Combat this with Rauwolscine during your next cut or diet. ",[],0.0,None
GORILLA MODE EAAS,eaas,3db239ea-04a9-4724-b223-55106dd54250,0,"Essential Amino Acids (EAA’s) are required in order to build new muscle tissue and help with cell repair which occurs when muscles are recovering. They are essential because your body cannot produce them. EAA’s must come from your diet or supplementation. As such, we have created Gorilla Mode EAA’s, which like all of our products are turn-key and provide the optimal dosage required per day for each essential amino acid. Containing a total of 12 Grams of EAAs in 1 scoop it is the highest dosed EAA product in the industry.  Gorilla Mode EAA’s can be taken before, during, or after your workouts and will aid with muscle protein synthesis, muscle recovery and muscle building. We recommend mixing 1 scoop of Gorilla Mode EAA’s in 12-14 ounces of water but you can add or subtract water depending on your taste preference. The flavor for Gorilla Mode EAA’s is Mango Peach like Gorilla Mode and Gorilla Mode Nitric. We plan on adding more flavors in the near future.  ",3,4.6,None
A2 AM STIM-BASED FAT LOSS FORMULA,a2-am,94481d5b-bce1-4082-802f-5ed4245549ca,,"α2 AM - Named α2 AM because one of the main vectors it works through is the antagonism of the α2 adrenergic receptors, and it is most effectively used in the morning (AM), ideally on an empty stomach before fasted cardio or training if you want to maximize its fat burning potential. This is our stimulant based fat burner.  Rauwolscine is only 1 component of the comprehensive α2 AM formula, which works via several different vectors to provide a substantially higher level of fat loss and appetite suppression.  α2 AM might even be preferred over a full dose of Gorilla Mode for some of you stim fiends that like the drive your head through the wall energy (it is designed to be more of an adrenaline hit), so it could be used as a makeshift stim blend to stack with Gorilla Mode Nitric to get maxed out mental focus, stim junky energy, fat loss, and ultimate performance via the Nitric. Do not combine with Gorilla Mode, Gorilla Mode Energy, or Rauwolscine. ",[],0.0,None
GORILLA SHROOM,gorilla-shroom,fc82e1e3-fde6-4acf-91d1-f73069eb4ca9,$39.99,,[],0.0,None
CAMP PM STIM-FREE FAT LOSS FORMULA,camp-pm,f50336b8-0ba3-4569-b89b-316b7f76483c,,,[],0.0,None
GORILLA MODE SHAKER BOTTLE,gorilla-mode-shaker-bottle,fac2932b-a39e-42e1-8b7b-bf17f382f8a9,$9.99,,[],0.0,None
GORILLA MODE TO GO,gorilla-mode-samples,7c3f009c-dd33-468d-80fc-19b42eebee7e,$3.00,,[],4.5,None
GORILLA MODE NITRIC + ENERGY BUNDLE,gorilla-mode-stim-nitric-bundle,8ad2c68f-4e3c-4161-a957-199206103bdf,$94.98,"Gorilla Mode Energy you can expect a very clean boost in mental clarity, productivity, focus and energy with this product. Gorilla Mode ""Stim"" contains a massive dose of carefully chosen synergistic stimulants and nootropics.  This product is designed specifically for energy and mental sharpness, so it does not contain any Nitric Oxide precursors, plasma expanders, or volumizing agents like Gorilla Mode and Gorilla Mode Nitric do.    With Gorilla Mode Nitric you can expect a massive increase in nitric oxide (NO) levels, vasodilation, intracellular hydration and as significant of a boost in muscle strength and endurance as you can get from a legal non-hormonal pre-workout. This product is maxed out from all angles. The traditional Arginine–eNOS–nitric oxide (NO) pathway is completely saturated with an unheard of dose of L-Citrulline, as well as topped out dosages of Nitrosigine and Agmatine Sulfate for good measure. Over a gram of nitrates also ensures that the nitrate–nitrite–nitric oxide (NO) pathway is taken care of.",[],0.0,None
FAT LOSS STACK - CAMP PM + RAUWOLSCINE,fat-burners-bundle,9d91b4c1-a995-4962-83a2-9e6fed8df2fd,,"cAMP PM - Named cAMP PM because one of the main vectors it works through is raising levels of cyclic AMP (cAMP), and it is most effectively used in the evening (PM) as your second dose to complement your morning α2 AM dose. cAMP PM has no stimulants so it shouldn't impair your sleep quality if taken in the early evening.  If you already take the max daily dose of our Gorilla Mode pre-workout, Gorilla Mode Energy pre-workout, or some other form of high stimulant intake, you'd be better off by using cAMP PM twice per day instead of α2 AM in the morning and cAMP PM in the evening.  This is only because you don't want to overdo the stims.   You can pair Rauwolscine with cAMP PM in the morning, or even with all of our Gorilla Mode pre-workouts if you want to drive adrenaline a bit harder and get more fat loss.  More elaborate dosing instructions are broken down on the product labels, but you can get pretty creative with the combinations to maximize fat loss and performance during your training sessions. ",[],4.7,None
FAT LOSS BUNDLE,fat-burner-bundle,d73ddeca-d365-4876-8741-f47f5bb2a927,,"α2 AM - Named α2 AM because one of the main vectors it works through is the antagonism of the α2 adrenergic receptors, and it is most effectively used in the morning (AM), ideally on an empty stomach before fasted cardio or training if you want to maximize its fat burning potential. This is our stimulant based fat burner. Rauwolscine is only 1 component of the comprehensive α2 AM formula, which works via several different vectors to provide a substantially higher level of fat loss and appetite suppression.  α2 AM might even be preferred over a full dose of Gorilla Mode for some of you stim fiends that like the drive your head through the wall energy (it is designed to be more of an adrenaline hit), so it could be used as a makeshift stim blend to stack with Gorilla Mode Nitric to get maxed out mental focus, stim junky energy, fat loss, and ultimate performance via the Nitric.  cAMP PM - Named cAMP PM because one of the main vectors it works through is raising levels of cyclic AMP (cAMP), and it is most effectively used in the evening (PM) as your second dose to complement your morning α2 AM dose. cAMP PM has no stimulants so it shouldn't impair your sleep quality if taken in the early evening. ",[],0.0,None
NOOTROPIC STACK,nootropics-stack,c3e1beb0-3fa1-46e2-b97e-14d69b1d49f9,0,,[],4.6,None
CORTISOL BLOCKER,cortisol-blocker,ee8ab94e-17d7-449e-a1e3-b64642f37495,$59.99,,[],4.6,None
GORILLA MODE TANK TOP,gorilla-mode-tank-top,87fbc0b2-bcca-46e1-b6e8-74389af90c11,$31.99,"100% Cotton Rep your favorite supplement brand Fitted around the chest and shoulders with tapered fit through the bottom of the torso See sizing chart down below for fitting Athlete is wearing extra large - 6'2, 235lbs",[],4.7,None
CŌSH YOUTH SERUM,restorative-youth-serum,2495ceee-f384-42b9-bbf8-1e14f4ea87b0,0,"For Hands and Face Only! Keep Away From Eyes.  Cōsh Youth Serum is the most effective daily over-the-counter anti-aging prevention serum that you can buy. Yes, while the mainstream cosmetic industry promises the world but is full of overpriced scam products that don't deliver, Cōsh Youth Serum is an affordable option that will make a real difference in your skin's appearance. Although you can purchase generic Hyaluronic Acid virtually anywhere, this serum is packed with other clinically-proven ingredients (Aloe Juice, Collagen, Seaweed Extract, Green Tea Leaf Extract, Vitamin C/E, etc.) that encourages a youthful complexion, fight premature aging and facial inflammation.  This is truly the most LOADED Hyaluronic Acid formula. Cōsh is scent free, free of sodium lauryl sulfate and dries quickly. Cōsh Youth Serum will turn back the clock and take several years off of your complexion, giving you younger, healthier looking skin.",[],5.0,https://cdn.shopify.com/s/files/1/0369/2580/0493/products/MegaMenuCoshSerum_1200x.png?v=1598715621
